game_id,game_name,name_in_vg,estimated_revenue,estimated_units_sold,number_of_reviews,steam_rating
1547580,Welcome To... Chichester 2 - Part II : No Extra Regrets For The Future,Welcome To... Chichester 2 - Part II : No Extra Regrets For The Future,1,240,8,0.875
1253680,Super Soccer Blast,Super Soccer Blast,20,3,127,0.7170000000000001
1881210,The Masters: Survival,The Masters: Survival,0,0,0,0.0
497670,Line/Dash,NULL,NULL,NULL,NULL,NULL
850040,PuzzGun,Puzzgun,2,704,17,0.941
7940,Call of Duty® 4: Modern Warfare®,NULL,NULL,NULL,NULL,NULL
741770,Santa's vacation,Santa's vacation,871,644,16,0.75
110630,Mutant Storm: Reloaded,NULL,NULL,NULL,NULL,NULL
572330,The Fan,Wally and the FANTASTIC PREDATORS,37,3,188,0.968
1683240,Misha Adventures,Misha Adventures,2,660,22,0.455
567150,Mosaics Galore,Mosaics Galore,7,2,101,0.782
700880,Kingdom: The Far Reaches,Kingdom: The Far Reaches,815,133,4,0.75
1413090,Yoli TD,NULL,NULL,NULL,NULL,NULL
1610860,Merek's Market,Merek's Market,7,570,19,0.9470000000000001
1302840,Kooring VR Coding Adventure,KOORING VR Coding Adventure,1,240,7,1.0
1305570,BRAVE PINBALL,NULL,NULL,NULL,NULL,NULL
1609730,Aliens vs. Ghosts,Aliens vs. Ghosts,23,6,200,0.9
717980,伏雨录：少年篇,NULL,NULL,NULL,NULL,NULL
1417450,Grilled,Grilled,72,30,1,1.0
1004200,Biathlon Battle VR,Biathlon Battle VR,5,840,28,0.5710000000000001
1506230,Bigfoot Forest,Bigfoot Forest,2,3,125,0.792
638230,Journey,Journey,7400000,738000,24590,0.9470000000000001
1839080,The Pointless Car Chase: Refueled,The Pointless Car Chase: Refueled,886,1,40,0.925
907460,Girlfriend Cards,Girlfriend Cards,631,1,28,0.35700000000000004
1307070,Vetrix,Vetrix,5,1,42,1.0
1221640,Ultra Foodmess,Ultra Foodmess,7,2,87,0.9540000000000001
703120,Keeplanet,Keeplanet,815,815,21,0.619
328710,One Last Day,One Last Day,27,3,104,0.625
926140,CHANGE: A Homeless Survival Experience,CHANGE: A Homeless Survival Experience,597000,60,2011,0.917
1700630,天下镖局,天下镖局,82,6,213,0.624
845290,Destructions,Destructions,6,984,30,0.8
739720,Penkura,Penkura,11,1,58,0.897
1776800,KarmaCrown,KarmaCrown,144,60,2,1.0
873970,Virtual Families 2: Our Dream House,NULL,NULL,NULL,NULL,NULL
1238130,禁忌,禁忌taboo,1,570,19,0.9470000000000001
1593100,Earth Marines,Earth Marines,1,630,21,0.7140000000000001
1365900,Mystika 4 : Dark Omens,Mystika 4 : Dark Omens,2,420,14,0.929
962950,执行人 Executor,执行人 Executor,800,565,15,0.867
778120,Hyperbolic Ignition,Hyperbolic Ignition,1,275,7,0.5710000000000001
1187910,Third Rule of Universe.,NULL,NULL,NULL,NULL,NULL
763350,Slime Sports,Slime Sports,2,405,9,0.889
1537410,Twilight Drive,Twilight Drive,900,150,5,1.0
761910,Worbital,Worbital,142000,14,384,0.9109999999999999
975470,Silver Chains,Silver Chains,407000,26,725,0.7240000000000001
990900,Neon Noodles - Cyberpunk Kitchen Automation,NULL,NULL,NULL,NULL,NULL
372770,Floors of Discomfort,Floors of Discomfort,845,393,7,0.7140000000000001
462580,New Yankee in Santa's Service,New Yankee in Santa's Service,3,942,21,0.762
926870,Twin Synth,Twin Synth,0,0,0,0.0
848720,Z.W!,Z.W!,126,180,4,0.75
